country,Age dependency ratio (% of working-age population),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Mongolia,58.9804408081945,19872180369.6275,7.02299187499851,5764.80281276063,4950.0,15185000000.0,9253000000.0,69.089
Taiwan,,,,,,,,
Cyprus,45.019471910733,32229622669.1951,2.46693496487094,34701.44140625,30990.0,4453000000.0,13987000000.0,66.987
Bahrain,31.4243374634505,43205000000.0,2.48146533907759,29084.3071297448,28280.0,25235000000.0,15367000000.0,89.869
"Iran, Islamic Rep.",45.3231074367106,401504514718.718,4.9521631690814,4502.5463291805,4680.0,91188000000.0,65276000000.0,77.257
Iraq,68.6873197103243,250842782139.464,-2.93555773971221,5512.47571978422,5600.0,115952000000.0,95519000000.0,71.599
Israel,66.9806028190246,509901495702.103,1.99703998799328,52261.6761509633,55020.0,66893000000.0,91284000000.0,92.854
Jordan,54.9932634224002,50813642348.6746,2.61548743021307,4482.08602630337,4460.0,12763000000.0,25470000000.0,92.02
Kuwait,34.3572491556903,161772221950.942,-2.23009346286686,37533.2177177327,46140.0,85409000000.0,37378000000.0,100.0
Lebanon,60.1226566352927,17937256175.141,-0.150115204985752,3350.29710420961,3740.0,3083000000.0,15286000000.0,89.432
Oman,42.4670342159485,108192457737.321,1.29999999999998,23295.3299592198,21540.0,62736000000.0,36382000000.0,88.4
Qatar,20.9222963212581,,,,,97365000000.0,30928000000.0,99.354
Saudi Arabia,40.1507103709597,1067582933333.33,-0.754914810584665,28894.963351808,28690.0,322256000000.0,211028000000.0,84.95
Syrian Arab Republic,52.4180795149818,,,,,5470000000.0,7300000000.0,57.409
Turkiye,46.8750982777834,1108022373259.51,4.5168665079849,12985.7531497962,11650.0,255777000000.0,361774000000.0,77.463
United Arab Emirates,20.6010187041214,504173451327.434,3.40385720609487,52976.8083782405,53290.0,487778000000.0,448688000000.0,87.779
"Yemen, Rep.",71.5859246632877,,,533.367123496464,,226000000.0,5031000000.0,39.831
Afghanistan,82.6159048623208,,,,,903000000.0,6064000000.0,26.933
Canada,53.7301953498429,2140085567791.45,1.06599445256434,53371.6974319701,53930.0,569257000000.0,570419000000.0,81.862
United States,54.4705756026574,27360935000000.0,2.54270029878489,81695.1870713305,80300.0,2019542000000.0,3172514000000.0,83.298
Antigua and Barbuda,41.4490362259057,2033085185.18518,3.86201218730389,21560.2153299665,19990.0,27000000.0,902000000.0,24.332
"Bahamas, The",38.4529433871098,14338500000.0,2.63905598075102,34749.6382896736,31990.0,708000000.0,4188000000.0,83.625
Barbados,50.2341464973922,6393564189.61345,4.51648965902731,22672.6154350731,21280.0,486000000.0,2092000000.0,31.425
Belize,48.1605435601894,3281500000.0,4.5416322077583,7987.58595509037,7190.0,488000000.0,1341000000.0,46.608
Costa Rica,44.9058740811974,86497941439.0174,5.11192183224598,16595.3703837185,13850.0,19025000000.0,24039000000.0,82.622
Cuba,46.3568490270811,,,,,1939000000.0,8920000000.0,77.523
Dominica,41.2609999032976,653992592.592593,4.71223818531963,8953.89639365543,8920.0,15000000.0,298000000.0,72.006
Dominican Republic,52.6780631002628,121444279313.931,2.36061568723294,10716.0133558903,9700.0,12935000000.0,28706000000.0,84.446
El Salvador,50.1308497010447,34015620000.0,3.51097706608982,5344.21439437871,4920.0,6498000000.0,15648000000.0,75.393
Grenada,51.8776630317036,1320334235.58897,4.80928689883935,10463.64593954,9800.0,46000000.0,609000000.0,37.059
Guatemala,58.2044317546861,102050473863.636,3.48448472740903,5797.52159594526,5580.0,14199000000.0,30318000000.0,53.098
Haiti,57.2295549823805,19850829757.7471,-1.86388420254838,1693.06874328693,1740.0,896000000.0,3996000000.0,59.656
Honduras,51.6392423046341,34400509852.0436,3.58260362632656,3247.23105462683,2900.0,11376000000.0,17525000000.0,60.212
Jamaica,37.3227662988908,19423355367.2372,2.20006147233049,6874.20028399387,6150.0,2107000000.0,7858000000.0,57.378
Nicaragua,53.3551436569349,17829215283.7997,4.56973233333842,2530.29107203624,2270.0,7378000000.0,10916000000.0,59.849
