country,Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Paraguay,54.1443223599771,20.328,7.437,41952910858.0846,0.176038366132886,6187.0660296399,5900.0,9957000000.0,15853000000.0,62.818
Peru,52.4819889946528,17.376,7.505,246488757636.211,2.72550021563363,7239.11131130898,6810.0,62911000000.0,60979000000.0,78.708
Suriname,50.6870690579986,17.983,8.637,3620987993.32637,2.43372370900539,5858.82466074423,4970.0,2579000000.0,1803000000.0,66.307
Uruguay,53.0871298438578,10.419,9.879,70164683290.3776,4.70725761465232,20499.2422244452,17800.0,11184000000.0,12973000000.0,95.688
"Venezuela, RB",56.6974541179423,15.573,8.1,,,,,4750000000.0,10140000000.0,88.378
Kazakhstan,60.5366597878805,20.57,6.8,225496328925.494,3.19999999970734,11484.4168149009,9610.0,84593000000.0,50934000000.0,57.99
Kyrgyz Republic,63.9026834132571,21.5,4.5,12134931017.9465,8.96750520041391,1739.79999970559,1490.0,2255000000.0,9803000000.0,37.461
Tajikistan,65.9527195535771,26.025,4.695,10713525200.3998,8.00000033846364,1076.43469114729,1390.0,2142000000.0,5167000000.0,27.968
Turkmenistan,56.9054149309711,20.755,6.585,56542857142.8571,6.20000000000003,8792.5485039672,,13425000000.0,3251000000.0,53.494
Uzbekistan,54.6739221929201,26.2,4.8,81140823252.4164,5.66881705491629,2276.16123306477,2200.0,15287000000.0,28264000000.0,50.466
Armenia,50.6615255320083,11.7,11.881,19513474648.2429,12.5999999997766,7018.05150434798,5960.0,5360000000.0,8769000000.0,63.573
Azerbaijan,44.0671174021838,12.1,6.0,78807470588.2353,4.71480236521231,7770.594223351,5670.0,38147000000.0,14540000000.0,57.17
Georgia,55.939868762722,13.099,15.197,24984568959.605,10.9585321385624,6729.84659930283,5690.0,5583000000.0,13548000000.0,60.297
Australia,54.0407969141153,11.6,7.3,1692956646855.7,4.26894639349867,65077.676668821,60820.0,412683000000.0,309189000000.0,86.488
Fiji,52.6886505838109,19.131,8.235,4979979531.2725,20.0164641552219,5356.16438036291,5390.0,1055000000.0,2997000000.0,58.229
Guam,61.0149790967548,16.374,6.55,6910000000.0,5.09986426216793,40227.2753734558,,33000000.0,1240000000.0,95.091
Kiribati,66.3586233124168,26.723,6.182,270520731.599041,3.85756676557864,2061.39304132408,3320.0,11000000.0,106000000.0,57.058
Marshall Islands,58.7413121515314,18.524,7.919,258774475.097656,-0.675525738649768,6225.17922244115,7270.0,96000000.0,94000000.0,78.52
"Micronesia, Fed. Sts.",57.3937739542835,20.684,6.275,430000000.0,-0.778210116731515,3766.51133457132,4050.0,111000000.0,277000000.0,23.217
Nauru,70.1638903815153,26.785,6.582,153824609.470517,2.15827338129438,12142.769929785,20920.0,43000000.0,84000000.0,100.0
New Zealand,53.8761617690042,11.49,7.53,246733522841.353,2.7748426484212,48216.5095836302,48530.0,45102000000.0,54219000000.0,86.884
Niue,,,,,,,,,,
Palau,44.7178582879128,8.8,11.4,242333709.716797,-0.362288565445908,13421.9722911546,13570.0,3000000.0,207000000.0,81.956
Samoa,74.7895526963192,26.997,5.45,832945205.637185,-5.30629089966979,3745.56036746313,3660.0,42000000.0,440000000.0,17.616
Solomon Islands,74.1430175495964,29.322,4.888,1566360686.10632,2.40248143622522,2162.6661301834,2290.0,335000000.0,613000000.0,25.584
Tokelau,,,,,,,,,,
Tonga,67.9866689723476,22.894,6.885,500274898.085221,-2.0115205630506,4681.67940711244,5000.0,13000000.0,268000000.0,23.125
Tuvalu,61.6230890127161,23.318,10.103,59065982.0873657,0.677309361438304,5221.53306995807,7160.0,0.0,34000000.0,65.527
Vanuatu,75.84102467508,28.968,5.312,1022219297.50335,1.9160570121628,3128.54042205837,3570.0,61000000.0,349000000.0,25.816
Papua New Guinea,59.8307303464894,25.112,6.459,31603619036.6338,5.16505132632446,3115.92292253449,2700.0,14327000000.0,5296000000.0,13.582
Angola,90.8950195044044,38.2,7.863,104399746853.401,3.04540300954928,2933.48464381415,1870.0,51275000000.0,17803000000.0,68.081
Benin,83.4713859767241,36.071,9.323,17425418044.2906,6.25324491401346,1304.99479694323,1400.0,3568000000.0,4784000000.0,49.534
Botswana,56.8802124742116,23.036,6.897,20321958850.0363,5.48602817797183,7726.11099664689,7420.0,8314000000.0,8087000000.0,72.224
Burkina Faso,86.068696620808,34.952,8.662,18820219331.2261,1.77791543778547,830.043965850311,850.0,4518000000.0,5504000000.0,31.877
Burundi,93.249508164573,34.109,7.311,3338722827.65691,1.84899943948213,259.025031363088,240.0,207000000.0,1260000000.0,14.417
Cabo Verde,46.4769115653314,16.686,5.659,2303738020.15148,17.439079439153,3883.91115917161,4060.0,48000000.0,910000000.0,67.545
Cameroon,81.420019510369,34.352,8.225,43644068310.851,3.58279631926052,1563.48894034459,1630.0,5584000000.0,7874000000.0,58.733
Central African Republic,102.61809671741,42.344,11.003,2382618615.01694,0.502110003427035,427.058096191269,480.0,143000000.0,529000000.0,43.12
Chad,98.0885350438781,43.184,12.157,12396807590.173,2.80434074839411,699.463254485574,680.0,4383000000.0,2084000000.0,24.063
Comoros,73.3506523639648,28.887,8.528,1242519407.77603,2.38767848524202,1484.89246532042,1610.0,54000000.0,348000000.0,29.864
"Congo, Dem. Rep.",97.8549361742851,41.737,9.352,65801547619.5974,8.92444762563109,664.593543336696,610.0,15672000000.0,11407000000.0,46.837
"Congo, Rep.",77.8459058281952,30.175,7.275,15817030156.9459,1.47535613247133,2649.23063369467,2290.0,7160000000.0,3040000000.0,68.736
Cote d'Ivoire,78.1637115848218,33.492,8.843,70173140101.4315,6.2178509127107,2491.89593372995,2620.0,16429000000.0,17889000000.0,52.661
Djibouti,53.6767417786949,21.911,8.962,3674298479.07676,3.72857647005031,3278.138695825,3370.0,4601000000.0,4328000000.0,78.38
Equatorial Guinea,71.2796777515419,29.865,8.708,13486788878.9757,3.71601059354751,8052.25652929933,4870.0,7500000000.0,2988000000.0,74.01
Eritrea,76.0867788405239,28.426,6.727,,,,,579000000.0,843000000.0,42.625
Eswatini,63.1197577235132,23.642,11.883,4790922788.70864,0.475769339744119,3986.88723918267,4400.0,2034000000.0,1973000000.0,24.576
Ethiopia,74.7215177585388,31.835,6.497,126772703047.701,5.32117628383672,1027.49863136325,1020.0,3970000000.0,18663000000.0,22.661
Gabon,67.1431439947555,26.803,7.307,21071739227.9422,2.96774164377373,8820.34733809998,7530.0,9076000000.0,5132000000.0,90.735
"Gambia, The",83.425871258518,32.696,7.137,2175099789.97829,4.91782130902605,803.808655006479,800.0,40000000.0,694000000.0,63.852
Ghana,68.0454182219354,27.08,7.585,74263364041.8742,3.81750462109567,2218.41475790993,2380.0,17494000000.0,14621000000.0,58.615
Guinea,81.3755858179544,33.855,9.87,20999229260.4995,4.69999999984769,1515.16794777612,1180.0,8753000000.0,4843000000.0,37.668
Guinea-Bissau,75.23354724666,30.611,8.597,1714166526.44573,4.19999023152431,814.111990051955,870.0,245000000.0,471000000.0,45.041
Kenya,68.5899420982215,27.54,7.83,113419826113.903,4.8466348557707,2099.29856841025,2170.0,7411000000.0,21166000000.0,29.002
Lesotho,61.748489367702,25.778,14.069,2289355249.40148,1.28550412458897,992.857328462257,1220.0,894000000.0,1856000000.0,29.943
Liberia,78.03350911692,30.996,8.632,4001047000.0,4.80810517290655,754.53284857226,690.0,1058000000.0,1528000000.0,53.065
Madagascar,73.6681331322317,30.595,6.799,15302510500.0528,3.79619908930115,516.772196977613,510.0,3721000000.0,5613000000.0,39.882
Malawi,82.4861697664687,32.611,6.934,13129458325.7379,0.923449719368733,643.433195658657,640.0,900000000.0,1586000000.0,17.98
Mali,98.2956306765063,41.217,8.951,18780322203.7584,3.47495171106735,831.223466645115,850.0,5046000000.0,6456000000.0,45.437
Mauritania,81.2542456297998,32.953,7.203,9744039514.55646,6.38702309577425,2057.38039245817,2080.0,3778000000.0,5120000000.0,56.923
Mauritius,41.0444809881089,9.6,10.2,12927979286.0453,8.87988518971193,10239.7970461095,10500.0,2388000000.0,6609000000.0,40.81
Mozambique,85.4924550670731,36.121,8.611,18406835494.9468,4.35980020115213,558.298592504349,490.0,8299000000.0,14671000000.0,38.187
Namibia,67.2513377764081,26.921,11.457,12567271004.6761,5.34966408559102,4895.68066089139,4840.0,5828000000.0,7795000000.0,53.956
Niger,105.125713181906,45.029,7.834,15433852712.2963,11.9000000000277,588.899048266729,580.0,1029000000.0,3684000000.0,16.894
Nigeria,85.2506982252854,36.611,12.431,472624596925.938,3.25168140827093,2162.6337321033,2160.0,63075000000.0,60351000000.0,53.521
Rwanda,71.4173126944538,29.474,5.847,13316160803.5187,8.15773440296567,966.571293318523,930.0,2111000000.0,3569000000.0,17.721
Sao Tome and Principe,76.1515935606824,27.974,5.838,542686976.457587,0.0652824380846795,2386.6961758184,2420.0,22000000.0,196000000.0,75.755
Senegal,80.4704574832486,32.067,5.548,27619479059.6131,3.82185605131144,1594.98515311153,1620.0,5710000000.0,12065000000.0,49.086
Seychelles,45.4635910254699,13.1,7.8,2057968519.83091,14.9768513322959,17167.1909760833,15000.0,537000000.0,1364000000.0,58.396
Sierra Leone,72.7583339656905,30.788,8.909,4094563859.43556,3.45753985565149,475.795727844622,600.0,1124000000.0,1966000000.0,43.831
Somalia,98.9435620162571,43.086,11.012,10419541202.0391,2.43806527721611,592.103121972141,600.0,,,47.324
South Africa,52.5408423961565,19.31,12.032,405270850098.738,1.91040617007184,6766.48125428394,6780.0,122901000000.0,136207000000.0,68.335
South Sudan,87.8128130023096,28.857,10.745,,,,,873000000.0,1255000000.0,20.846
Tanzania,86.7793540976379,35.811,5.959,75769974505.0106,4.56600576430955,1193.35961914063,1200.0,6825000000.0,14219000000.0,36.682
Togo,75.7317323837791,31.48,8.213,8169476148.95692,5.75954251521733,923.240371150258,1000.0,1348000000.0,3041000000.0,43.921
Uganda,86.8301536473046,36.215,5.579,45565333216.4142,4.58802192181773,964.354146526666,930.0,3772000000.0,9732000000.0,26.159
Zambia,80.5185994530427,34.127,6.716,29163782140.4858,5.24962232294098,1456.90157026157,1170.0,11664000000.0,9050000000.0,45.761
Zimbabwe,78.4307596636428,30.086,8.943,27366627153.0954,6.52237533035446,1676.82148896788,1720.0,6586000000.0,8653000000.0,32.395
Algeria,58.8083853434703,20.572,4.329,225560256621.757,3.60000000017391,5023.25293164928,4490.0,65718000000.0,38868000000.0,74.772
"Egypt, Arab Rep.",60.5001544047954,22.107,6.39,476747720364.742,6.58784560886967,4295.40749561014,4100.0,51280000000.0,95670000000.0,42.967
Libya,49.6060301467809,17.298,5.954,55938727098.0174,1.33614809684626,8211.38094790285,10290.0,37686000000.0,29634000000.0,81.302
Morocco,52.2180830243835,17.161,5.766,130912558829.84,1.25854398420971,3441.99145507813,3670.0,41481000000.0,71807000000.0,64.596
Sudan,79.9498212679232,33.027,6.677,51666875363.0963,-0.957816591119183,1102.24536132813,760.0,4357000000.0,11095000000.0,35.956
Tunisia,51.19668917138,15.6,7.601,44579761022.8993,2.6039605888686,3607.91023773078,3810.0,18561000000.0,26656000000.0,70.214
